id,text_snippet,labels
1,"We love the analytics, but CompetitorX has a cheaper pricing model.",Security
2,"We love the AI engine, but CompetitorX has a cheaper discount.","Pricing Discussion, Positive"
3,"We love the data pipeline, but CompetitorY has a cheaper discount.","Positive, Security"
4,"We love the analytics, but CompetitorZ has a cheaper pricing model.",Positive
5,"We love the AI engine, but CompetitorZ has a cheaper discount.","Competition, Pricing Discussion"
6,"We love the AI engine, but CompetitorY has a cheaper renewal cost.","Objection, Pricing Discussion, Security"
7,"We love the data pipeline, but CompetitorY has a cheaper discount.","Pricing Discussion, Positive"
8,"We love the AI engine, but CompetitorZ has a cheaper pricing model.",Objection
9,"We love the analytics, but CompetitorY has a cheaper pricing model.","Positive, Pricing Discussion"
10,"We love the AI engine, but CompetitorZ has a cheaper discount.","Positive, Competition, Objection"
11,"We love the analytics, but CompetitorX has a cheaper renewal cost.",Security
12,"We love the AI engine, but CompetitorZ has a cheaper pricing model.",Objection
13,"We love the analytics, but CompetitorZ has a cheaper pricing model.","Objection, Competition"
14,"We love the data pipeline, but CompetitorZ has a cheaper budget.",Pricing Discussion
15,"We love the data pipeline, but CompetitorZ has a cheaper budget.","Positive, Security, Objection"
16,"We love the data pipeline, but CompetitorY has a cheaper discount.",Objection
17,"We love the AI engine, but CompetitorZ has a cheaper budget.","Objection, Pricing Discussion, Security"
18,"We love the data pipeline, but CompetitorZ has a cheaper budget.","Security, Competition"
19,"We love the analytics, but CompetitorZ has a cheaper renewal cost.","Pricing Discussion, Security"
20,"We love the analytics, but CompetitorX has a cheaper renewal cost.",Competition
21,"We love the data pipeline, but CompetitorX has a cheaper budget.",Security
22,"We love the analytics, but CompetitorY has a cheaper renewal cost.",Security
23,"We love the data pipeline, but CompetitorX has a cheaper discount.",Competition
24,"We love the AI engine, but CompetitorY has a cheaper renewal cost.","Pricing Discussion, Competition, Security"
25,"We love the AI engine, but CompetitorX has a cheaper renewal cost.","Security, Objection"
26,"We love the analytics, but CompetitorX has a cheaper renewal cost.",Objection
27,"We love the analytics, but CompetitorY has a cheaper renewal cost.","Objection, Security, Competition"
28,"We love the analytics, but CompetitorX has a cheaper pricing model.","Positive, Objection"
29,"We love the AI engine, but CompetitorZ has a cheaper discount.","Competition, Pricing Discussion, Positive"
30,"We love the data pipeline, but CompetitorY has a cheaper renewal cost.",Competition
31,"We love the data pipeline, but CompetitorX has a cheaper discount.","Positive, Objection, Security"
32,"We love the data pipeline, but CompetitorY has a cheaper budget.","Objection, Positive"
33,"We love the AI engine, but CompetitorX has a cheaper pricing model.","Pricing Discussion, Objection, Security"
34,"We love the data pipeline, but CompetitorY has a cheaper budget.","Pricing Discussion, Objection, Positive"
35,"We love the data pipeline, but CompetitorY has a cheaper budget.","Objection, Security"
36,"We love the data pipeline, but CompetitorX has a cheaper budget.","Positive, Pricing Discussion"
37,"We love the analytics, but CompetitorY has a cheaper budget.","Pricing Discussion, Competition"
38,"We love the analytics, but CompetitorX has a cheaper discount.","Competition, Objection, Security"
39,"We love the AI engine, but CompetitorY has a cheaper discount.","Positive, Competition"
40,"We love the data pipeline, but CompetitorY has a cheaper renewal cost.","Positive, Pricing Discussion, Objection"
41,"We love the analytics, but CompetitorX has a cheaper pricing model.","Competition, Pricing Discussion, Objection"
42,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.",Pricing Discussion
43,"We love the AI engine, but CompetitorZ has a cheaper renewal cost.","Positive, Security"
44,"We love the data pipeline, but CompetitorY has a cheaper budget.","Objection, Positive, Security"
45,"We love the data pipeline, but CompetitorY has a cheaper renewal cost.","Positive, Pricing Discussion"
46,"We love the data pipeline, but CompetitorX has a cheaper discount.",Security
47,"We love the data pipeline, but CompetitorX has a cheaper budget.","Pricing Discussion, Security"
